"osm_id","fclass","name","source_layer","footfall_domingo","footfall_lunes","footfall_martes","footfall_miercoles","footfall_jueves","footfall_viernes","footfall_sabado","footfall_manana_weekend","footfall_tarde_weekend","footfall_noche_weekend","footfall_madrugada_weekend","footfall_manana_semana","footfall_tarde_semana","footfall_noche_semana","footfall_madrugada_semana","avg_dwell","max_dwell","min_dwell","repeat_visit_rate_daily","peak_hour_weekday","peak_visits_weekday","peak_hour_weekend","peak_visits_weekend","total_devices","horas_con_movimiento_semana","horas_con_movimiento_finsemana"
"820345628","building","La Despensa de Don Juan","gis_osm_buildings_a_free_1","4.0","4.0","7.0","9.0","3.0","10.0","6.0","5.0","4.0","1.0","0.0","13.0","14.0","7.0","0.0","975.0","3506","64","1.39","16","5","13","2","31","16","8"
"378386050","building","Wendy's","gis_osm_buildings_a_free_1","5.0","7.0","7.0","6.0","7.0","8.0","4.0","1.0","7.0","1.0","0.0","5.0","17.0","13.0","0.0","1416.0","4831","121","1.1","19","6","14","4","40","13","5"
"1212939180","fuel","Puma San Martin","gis_osm_traffic_a_free_1","8.0","10.0","2.0","5.0","7.0","11.0","6.0","10.0","2.0","2.0","0.0","15.0","9.0","12.0","0.0","12489.0","118187","64","1.48","20","5","11","4","33","18","8"
"765577210","park","paseo rasa 2","gis_osm_landuse_a_free_1","7.0","9.0","12.0","2.0","5.0","5.0","5.0","3.0","10.0","1.0","0.0","7.0","22.0","9.0","1.0","17890.0","163261","74","2.14","14","7","15","5","21","21","10"
"741089772","hospital","Hospital Nacional Monseñor Óscar Arnulfo Romero","gis_osm_pois_a_free_1","4.0","6.0","2.0","1.0","3.0","2.0","5.0","7.0","3.0","3.0","3.0","3.0","3.0","7.0","5.0","209655.0","1774427","373","2.56","19","4","8","3","9","18","23"
"1154849389","attraction","Paque Recreativo Amapulapa","gis_osm_pois_a_free_1","4.0","3.0","6.0","5.0","5.0","6.0","12.0","11.0","8.0","3.0","0.0","10.0","16.0","3.0","2.0","22431.0","158597","228","2.05","14","8","11","5","20","13","13"
"400002338","fuel","Gasolinera Uno Constitución","gis_osm_traffic_a_free_1","3.0","6.0","6.0","4.0","2.0","13.0","11.0","6.0","4.0","2.0","2.0","12.0","5.0","14.0","1.0","440.0","1003","63","1.18","10","5","11","3","38","14","10"
"374035023","building","La Despensa de Don Juan","gis_osm_buildings_a_free_1","3.0","7.0","3.0","8.0","7.0","9.0","6.0","3.0","3.0","3.0","1.0","8.0","12.0","16.0","0.0","608.0","2629","65","1.34","20","6","11","2","32","14","9"
"539865682","building","Vidrí","gis_osm_buildings_a_free_1","7.0","4.0","3.0","7.0","3.0","14.0","8.0","6.0","8.0","1.0","0.0","13.0","17.0","2.0","1.0","0.0","0","0","1.53","16","6","13","3","30","15","10"
"398210638","fuel","Gasolinera Texaco","gis_osm_traffic_a_free_1","6.0","2.0","6.0","8.0","4.0","14.0","8.0","5.0","5.0","4.0","0.0","9.0","18.0","8.0","1.0","634.0","2322","61","1.3","9","4","9","2","37","14","11"
"1316745593","building","Cine Libertad","gis_osm_buildings_a_free_1","3.0","9.0","5.0","7.0","5.0","11.0","7.0","0.0","7.0","2.0","1.0","11.0","16.0","6.0","4.0","0.0","0","0","1.21","13","5","13","3","39","15","7"
"1110102585","building","Oficinas Administrativas FOSALUD","gis_osm_buildings_a_free_1","4.0","2.0","2.0","4.0","6.0","9.0","3.0","4.0","5.0","1.0","2.0","15.0","16.0","12.0","8.0","0.0","0","0","3.0","15","3","12","2","10","24","22"
"117963521","building","Banco Central de Reserva","gis_osm_buildings_a_free_1","0.0","7.0","2.0","3.0","9.0","9.0","2.0","0.0","2.0","0.0","0.0","19.0","16.0","3.0","0.0","39568.0","175016","376","1.39","11","7","16","1","23","14","2"
"547525205","building","Edificio La Montaña","gis_osm_buildings_a_free_1","7.0","9.0","6.0","6.0","7.0","11.0","5.0","7.0","9.0","9.0","5.0","20.0","23.0","19.0","13.0","0.0","0","0","4.64","13","4","12","2","11","24","22"
"1231405287","nature_reserve","Área Natural Protegida Complejo San Marcelino (Porción Las Lajas)","gis_osm_landuse_a_free_1","8.0","6.0","3.0","4.0","10.0","2.0","8.0","7.0","8.0","1.0","0.0","11.0","12.0","2.0","0.0","0.0","0","0","1.17","17","5","15","4","35","12","7"
